"Brand","Model","Year","Engine_Size","Fuel_Type","Transmission","Mileage","Doors","Owner_Count","Price","Region","car_age","mileage_per_year","high_mileage_indicator","age_mileage_interaction","mileage_per_engine_size","owner_impact_score","luxury_brand_indicator","engine_size_per_door","transmission_fuel_combo","fuel_type_efficiency_score","brand_mean_price_ratio","model_popularity_score","doors_category","rare_model_indicator","log_price","log_mileage","age_x_mileage","brand_x_region","owner_stability_score","transmission_popularity","fuel_efficiency_per_mile","estimated_original_price","depreciation_rate","region_price_deviation","mileage_variance","Fuel_Type_encoded","Transmission_encoded","Region_encoded","doors_category_encoded","transmission_fuel_combo_encoded","brand_x_region_encoded","cpi_year","inflation_adjustment","price_inflation_adjusted","original_price_inflation_adjusted","outlier_flag"
"Kia","Rio",2020,4.2,"Diesel","Manual",289944,3,5,8501,"South America",4,72486,1,1159776,69034.2857142857,1,0,1.4,"Manual-Diesel",8192.595142,0.959254942975526,310,"SUV/Family",0,9.04793908261736,12.5774430798675,1449720,"Kia-South America",0.166666666666667,0.33841980332316,0.141276485554356,12219.551706109,743.7103412218,0.960131014122416,3.86591999974227,0,1,5,1,4,41,262.045,1.2203056726898,6966.2873739348,14911.5882646912,0
"Chevrolet","Malibu",2012,2,"Hybrid","Automatic",5356,2,3,12092,"Africa",12,446.333333333333,0,64272,2678,0.6,0,1,"Automatic-Hybrid",9045.843182,1.34542818067944,317,"Sports",0,9.40029935589935,8.58597270681106,69628,"Chevrolet-Africa",0.25,0.329151124675031,21.9027679951574,31061.3128112419,1459.17790855707,1.36571041321824,0.0274666666648355,2,0,0,3,2,12,231.221,1.38298424451066,8743.41124853413,42957.3062317648,0
"Mercedes","GLA",2020,4.2,"Diesel","Automatic",231440,4,2,11171,"North America",4,57860,1,925760,55104.7619047619,0.4,1,1.05,"Automatic-Diesel",8192.595142,1.24467872537666,292,"Sedan",0,9.32107641357085,12.35207593965,1157200,"Mercedes-North America",0.333333333333333,0.329151124675031,0.176987948367863,16057.477015521,977.295403104191,1.26168963166233,3.08586666646094,0,0,3,2,0,45,262.045,1.2203056726898,9154.26376358377,19595.0302911264,0
"Audi","Q5",2023,2,"Electric","Manual",160971,2,1,11780,"Africa",1,160971,0,160971,80485.5,0.2,1,1,"Manual-Electric",9818.188368,1.32778893938908,333,"Sports",0,9.37415845720558,11.9889795035187,321942,"Audi-Africa",0.5,0.33841980332316,0.121985530095109,13620.0716845878,920.035842293908,1.33047210285402,5.36569999964229,1,1,0,3,5,0,308.735,1.03575882229096,11373.3040419045,14107.1094075471,0
"Volkswagen","Golf",2003,2.6,"Hybrid","Semi-Automatic",286618,3,3,2867,"Africa",21,13648.4761904762,1,6018978,110237.692307692,0.6,0,0.866666666666667,"Semi-Automatic-Hybrid",9045.843182,0.321909301240938,320,"SUV/Family",0,7.96102146588337,12.5659055977076,6305596,"Volkswagen-Africa",0.25,0.332429072001808,0.694280456335473,14151.5113739837,512.932335181079,0.323808448122452,0.868539393881491,2,2,0,1,10,54,185.5,1.72385444743935,1663.13345320929,24395.1458200305,0
"Toyota","Camry",2007,2.7,"Petrol","Automatic",157889,4,4,7242,"Asia",17,9287.58823529412,0,2684113,58477.4074074074,0.8,0,0.675,"Automatic-Petrol",8165.243868,0.828333318716209,308,"Sedan",0,8.88765269032559,11.9696475334725,2842002,"Toyota-Asia",0.2,0.329151124675031,0.930765511497274,26740.2489691886,1083.23605384381,0.817935396338611,0.584774074035089,3,0,1,2,3,49,211.445,1.51233181205514,4788.63166288797,40440.1291783786,0
"Honda","Civic",2010,3.4,"Electric","Automatic",139584,3,1,11208,"North America",14,9970.28571428571,0,1954176,41054.1176470588,0.2,0,1.13333333333333,"Automatic-Electric",9818.188368,1.29055470021959,317,"SUV/Family",0,9.32438308801684,11.8464218495613,2093760,"Honda-North America",0.5,0.329151124675031,1.05497049061956,33287.7080614124,1471.98053742749,1.26586853385296,0.620373333291975,1,0,3,1,1,27,220.472,1.45041093653616,7727.46517395044,48280.8558244954,0
"Kia","Sportage",2001,4.7,"Electric","Semi-Automatic",157495,2,2,7950,"North America",23,6847.60869565217,0,3622385,33509.5744680851,0.4,0,2.35,"Semi-Automatic-Electric",9818.188368,0.897079966669266,299,"Sports",0,8.98092720764838,11.9671489907122,3779880,"Kia-North America",0.333333333333333,0.332429072001808,1.49592443344612,45370.7923044267,1559.19967935111,0.897899254472792,0.437486111081945,1,2,3,3,9,39,177.4,1.80256482525366,4410.38230005473,81783.7943018491,0
"Kia","Sportage",2014,2.6,"Hybrid","Manual",98700,3,4,9926,"North America",10,9870,0,987000,37961.5384615385,0.8,0,0.866666666666667,"Manual-Hybrid",9045.843182,1.12005229549171,299,"SUV/Family",0,9.20291285614739,11.4998402254216,1085700,"Kia-North America",0.2,0.33841980332316,1.00803633842226,22052.703417557,1102.42758341427,1.12107522011282,0.598181818141939,2,1,3,1,6,39,236.252,1.35353351506019,7333.39802048315,29849.0731733457,0
"Toyota","RAV4",2005,3.1,"Petrol","Manual",107724,2,5,6545,"Africa",19,5669.68421052632,0,2046756,34749.6774193548,1,0,1.55,"Manual-Petrol",8165.243868,0.748611097900799,314,"Sports",0,8.786456678344,11.5873276795447,2154480,"Toyota-Africa",0.166666666666667,0.33841980332316,1.51567490867241,27941.5619519573,1069.82809759787,0.739213914531374,0.359079999976061,3,1,0,3,7,48,198.1,1.61420999495204,4054.61496364631,45103.5485774213,0
